block_timestamp,source_tx_hash,blockchain,destination_chain,source_amount_numeric,bridge_kit_fee_total,bridge_kit_fee_circle_collected,bridge_kit_fee_dev_collected
2026-05-03 20:13:59+00:00,0x3dc9ce2fd7d51093a28f55fb8a02a4c90e641469f7a7d78292e5fdc60be321f0,BASE,SOL,0.450000,0E-38,0E-38,0E-38
2026-04-30 15:22:57+00:00,0x4467f4599c407a59b6271e5a26385af3a7a394477c6c3cf8ffd0579b66fcd95b,HYPEREVM,SOL,1.000000,0E-38,0E-38,0E-38
2026-04-30 15:16:04+00:00,0x38238dcca3a5dd70d861cc6f68fcf6fd8fb973bf6829282e5f9aba88d0a1bd68,HYPEREVM,SOL,1.000000,0E-38,0E-38,0E-38
2026-04-30 15:06:15+00:00,0xae53aeb07f25df9c349005fbca57a453f2befe8c5d83befa929f44beb4777491,HYPEREVM,SOL,1.000000,0E-38,0E-38,0E-38
2026-04-30 13:30:33+00:00,0xf298f1b0850609f764ba35f9db55474806b4b6d5938ed310470b567005496ab5,HYPEREVM,SOL,1.100000,0E-38,0E-38,0E-38
2026-04-30 13:25:56+00:00,0x4d6e3de6f6c31752c40de42bda19af1435274a1baefb3e9ef8314cc7a5afb8d9,HYPEREVM,SOL,1.500000,0E-38,0E-38,0E-38
2026-04-30 13:19:04+00:00,0x36688833f710d80c4a69d8e5ae28cac252136af82d0b136007f0398c9b860274,HYPEREVM,SOL,0.500000,0E-38,0E-38,0E-38
2026-04-30 13:15:58+00:00,0xe5061a62b094d7c73ba61f925bdabc5fe18d752a82a1fd649423399849de2c7a,HYPEREVM,SOL,0.500000,0E-38,0E-38,0E-38
2026-04-30 13:09:53+00:00,0x79af71f4c1906aea23720edbb644741e5f1d260885595fa1ba0dcfe69310644c,HYPEREVM,SOL,0.500000,0E-38,0E-38,0E-38
2026-04-30 12:57:32+00:00,0xfa767611f019bbe8499e2a6e729b24879f98a791f04349d4c8172d0633230bfa,HYPEREVM,SOL,0.500000,0E-38,0E-38,0E-38
2026-04-30 12:49:18+00:00,0x21b09a3b0fe21a30719d0787f2b1f5d83a9276e3035414698da6ee0614fcfbe3,HYPEREVM,SOL,0.500000,0E-38,0E-38,0E-38
2026-04-30 12:40:44+00:00,0x8181c100063749690650304065b0d9a919dbf8c20ea65ddf77a67f80f280b0dc,HYPEREVM,SOL,0.500000,0E-38,0E-38,0E-38
2026-04-29 19:10:07+00:00,0x0fbeb02d6f89de640c33f723ed9bcc9e046283964af224c06ae614f6541300dd,HYPEREVM,SOL,0.100000,0E-38,0E-38,0E-38
2026-04-28 11:43:53+00:00,0xd4735b3f5181adfde8b46e4877e9ff63da9d62e8967b166d94a802e99accaa2c,BASE,PHAROS,1.000000,0E-38,0E-38,0E-38
2026-04-28 10:24:03+00:00,0x27446d99e487bc68ce3ac284c940fa981bb73282c1fce7b704c7b541fe030bd6,BASE,ETH,1.000000,0E-38,0E-38,0E-38
2026-04-27 10:19:53+00:00,0x4e9c2a55d9e37a4e777fe79ebe1a96b4c09c663935b8a8b5370525f008ca192c,BASE,ETH,1.000000,0E-38,0E-38,0E-38
2026-04-26 16:15:10+00:00,0xb4d82980375e5dc750056f0588dd5cfc2c8370e16c07e1d00e6b45fd8cbddcec,POLYGON,LINEA,0.010000,0E-38,0E-38,0E-38
2026-04-26 16:05:30+00:00,0xcff5c9fdeb295d8865b92d3f674e1162088be9b0efe7a763c6b5872806124c03,POLYGON,LINEA,0.010000,0E-38,0E-38,0E-38
2026-04-26 15:48:24+00:00,0x679c79335868f9cd005a0fdb09cd85a380c4c3ca301520a64403fcddd2e1fab3,POLYGON,LINEA,0.010000,0E-38,0E-38,0E-38
2026-04-26 02:59:57+00:00,5jqSN6MqYx6miMQVcGMr3fCRuNkada7ZbZu3LN9BDZfTLBpkzxyYE3X3mLQKScGmKDbfUGgZe5a9C9dD7FDXNLvq,SOL,ETH,0.996029,0E-38,0E-38,0E-38
