bridge_kit_fee_dev_collected,bridge_kit_fee_circle_collected,dev_address,transaction_hash,amount_bridged,blockchain
,,0xdc8f5a228d80991ba1dd9ebea9c7df74afc8d9b3,0xdcbd6e85abface289f74cffc92c3669fddecbd4e7239f283b3c0b02b7f7169d1,0.050000,arbitrum_sepolia
,,0x35ced7a9a8d31d68ad149049ccda3a6d832a2ef8,0xe74fb0393bce2dd6f113f782251faf0c3391dfba61aa6e3b343e53f19610246c,1.000000,arbitrum_sepolia
,,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x62d273a2c62bb810ff7a459ea73531013dcb115a55bc39bbcb3113acbbc1062e,0.010000,arbitrum_sepolia
0.0045,0.0005000000000000004,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0xd18ad49424a11b1b552936b028e286bccc0d7b4ea21f4f4b6d60f01f7a841618,0.010000,arbitrum_sepolia
,,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x1d11ed9ad78912192533b83184f180525ef0606b53700295767a9b779c6776a4,0.010000,arbitrum_sepolia
0.0045,0.0005000000000000004,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0xcf624c42a3695ddbcc768cb59d61d8cd1e8210ef37257aa17f6eb7a69c36f2db,0.010000,arbitrum_sepolia
,,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0xd2f48b9f7064abff26cfe9b63c09cbfd6405d849d8cd90dd4e93f8fd9fe0d711,0.010000,arbitrum_sepolia
0.0045,0.0005000000000000004,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x4bbed0c63a35713f4512006a2ea804435e34ff9dc176d43b07712caa6c9cfe84,0.010000,arbitrum_sepolia
,,0xce0b252c77fc94d4fb8351edfa2834e3d7b13731,0x42ae2e8b94ce63d1ad6e9acdb98b8ae4391c885ac50cfeb806efab0e35f4ffc5,1.000000,arbitrum_sepolia
0.0045,0.0005000000000000004,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x0064b16b5bd0a53d4ef246202ae33d6a0b3320da0ac035a66248ae5d1136712a,0.010000,arbitrum_sepolia
,,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x1ed6006664eb95451b171ed30806abf9f0397c77a1f795e718305c39efc95383,0.010000,arbitrum_sepolia
0.045,0.0050000000000000044,0x03555aa97c7ece30afe93dab67224f3ada79a60f,0x12581a1b2695a427041852b59546a7db8100d8608e0649dacebb3dd795b36aca,1.000000,arbitrum_sepolia
0.045,0.0050000000000000044,0x03555aa97c7ece30afe93dab67224f3ada79a60f,0x7acb61b7f4e745596bbe09bc89216f6cb7b6c2c51f08faea2fdd548547ca8544,2.000000,arbitrum_sepolia
0.045,0.0050000000000000044,0x03555aa97c7ece30afe93dab67224f3ada79a60f,0x9262e276396f424e62eef5f616415f1c3142e703a8b4133f30c3f1328b380dcf,2.000000,arbitrum_sepolia
,,0xbad2e8f76d7004c76ba1d1b16100754258caa9ed,0x6583ede43b3a205894eebabe69cef2ca48ca495ede5c9c564aa83d4f22199223,2.000000,arbitrum_sepolia
,,0xabebd227870f98989ecac6459f53a54853e4ea94,0xccbc18ae1258c345c21c70f66eeb95e2c7608e7a8475b68678ae62bc2bf5b3df,139.976402,arbitrum_sepolia
,,0xabebd227870f98989ecac6459f53a54853e4ea94,0xba008a67d2b81078ef88e543ae9616dc301e9ad61b9005f4e1e537f500fb7bc7,199.937011,arbitrum_sepolia
,,0x576395bedd8fb9eeb515ced98347a0a56f5e1597,0x761c23aeecab8d8113c5c7f17a1c3d05df0c331cfd24e54490edcd98589d3cba,1001.000000,arbitrum_sepolia
0.009,0.0010000000000000009,0x960e2be9761254a9523f6677a4c4574ac6fe2282,0xab4432e47b8ca3a99b396b9f6ae8d144f4ec094143088e0de614f25eba59dbc6,19.990000,arbitrum_sepolia
