dev_entity,dev_address,source_blockchain,Amount,Tx Count
Unknown,0x446f4285d1a04af1a5f6092b22829326e7ccd6d7,polygon,926183.000000,34
Coinbase Deposit,0xd3f8696e9a02565b91a27d8a20655384a9255d41,base,530186.710827,1
Unknown,0x00f18ccb682d2b6b935a3bbd3f1d237d263e05c0,ethereum,352976.486440,1
Unknown,0xe9b31f8daab3d2855cba7327a4a94b2fcbd594c1,arbitrum,180646.541769,1
Unknown,0xf27816809fbe89ceb293569f5924b4c9c7fc7a48,ethereum,177939.862926,4
Unknown,0xe5495fda49c334f69298e161760d0818f7245bb7,arbitrum,176854.260195,7
Unknown,0xc6d281c0d4702c2630fa22823f8b66286acdcd54,polygon,154378.824027,37
Unknown,0x0fa394da27a611aad1b11a636e3dbbf7e52b3bcd,base,139547.790049,33
Unknown,0xf41688cb5fea87cb789d59d76aca9936b5769e44,ethereum,113144.000500,1
Unknown,0x5004228fb90001efb2875d8fdbea37c354455b58,ethereum,100269.644301,1
Coinbase Deposit,0x1119c4ce8f56d96a51b5a38260fede037c7126f5,ethereum,100255.996492,2
Unknown,0x77723931e7a2418055ccccccc6b6e4d3d1110e2d,ethereum,100000.000150,1
Unknown,0x0117ce17bc661d9bc331a328dc57c05d99b087d3,hyperevm,97464.036764,1
Unknown,0xfa8714498531364f0ce21299c8540643883e1ee5,base,93703.398045,4
Coinbase Deposit,0x272c39c82ca9f10e5338a6ee75927cfe00c82e2c,base,83720.000000,2
Coinbase Deposit,0xd3f8696e9a02565b91a27d8a20655384a9255d41,arbitrum,77982.497905,1
Unknown,0xdf4b79c5cebf5be025f9a0658a38a5440689c147,arbitrum,60866.356954,1
Unknown,0x0078e4621aa1d25fa3645fe9780af79284a9b3bb,ethereum,56750.932872,1
Unknown,0xf2cffddc40e4047de266f8bbc6c00dbc503dc28f,ethereum,54749.342017,1
Unknown,0x6371024c5ffdaefef716adce3cac52ac6181cd9d,arbitrum,53200.000000,1
Unknown,0x6778b84d06804ecc154998b3fc73e557a4f1062d,base,44856.103102,3
On-chain Applications LLC,0xaadc7e032ea2b8aab2a65aee4b33214bda3ba264,arbitrum,39823.250731,1
BitPay Deposit,0x19d8392d43ade4a34dab708d4615b7371de521fc,unichain,31000.000000,3
Unknown,0xfb1c779ae8547e4f3d3e04643d0a9f6590175e54,linea,24139.408158,1
Unknown,0x0fa394da27a611aad1b11a636e3dbbf7e52b3bcd,arbitrum,21703.516679,10
Unknown,0x13e7ed8a2f1e57667bcd65d242d819c376ca0897,polygon,20004.000000,11
Unknown,0xfcc06f7f02f6ab02051f259db4f82f20d8d02112,hyperevm,19858.045872,1
Kraken Deposit,0x0e61a8fb14f6ac999646212d30b2192cd02080dd,hyperevm,19484.830010,1
Unknown,0xe5495fda49c334f69298e161760d0818f7245bb7,ethereum,15005.037026,1
Unknown,0x77e5cafb1a1466ce514dd9f7e80fd576377875bc,base,15000.000000,1
Unknown,0xe5253cda1e2d1bac632cafa9458688197d3796e0,arbitrum,12601.208354,2
Coinbase Deposit,0x6a736d2289deebacf3054b712ac76d6f08e54b7e,ethereum,12587.750781,1
Unknown,0x0fa394da27a611aad1b11a636e3dbbf7e52b3bcd,optimism,10854.843936,2
Unknown,0x75995ad789ad217443fce4f33fc67b74c3bcb95b,avalanche,10500.004510,1
Unknown,0xc15ab8dd7daeea5f1aa3b56507cac8a877e21b15,arbitrum,10001.684629,2
Dapper,0x5b191f5a2b4a867c4ed71858daccc51fc59c69c0,arbitrum,10000.208635,1
Unknown,0xb26b4a4bba425ac28224cfdd45b4bd00c886cc33,arbitrum,10000.018495,1
Unknown,0xb26b4a4bba425ac28224cfdd45b4bd00c886cc33,base,10000.000000,1
Unknown,0xfb9cbbbffa817211ea4f437572001b3dd7d95174,avalanche,9999.000090,1
Coinbase Deposit,0x408548fd5c1ec79939356ed28811267795f59675,polygon,9412.033823,3
Unknown,0x569bb237954bcf97a2df0ace9f2e142dd6793047,arbitrum,6374.800000,3
Unknown,0x393699641fe4a8f60f636e2cd6613298db16c01c,base,5999.990000,1
Unknown,0x10e2dc9d24377c340b68b7db0cd61dfbd0cd9d11,arbitrum,5606.929868,1
Unknown,0xa420fa70918c3dbe68015dab6d58dc6f2be9481b,base,5222.000000,2
Coinbase Deposit,0x981690ec51bb332ec6eed511c27df325104cb461,ethereum,5114.480289,2
Unknown,0x7c7eedcc12f9170edffb681c0bf26efa23e7ec3c,base,5063.603472,1
Unknown,0x5e93e875644ff989824aafd7a2da1d35317c0d1a,ethereum,5000.000000,1
Coinbase Deposit,0x79f49449a106d290e697c3492694b80171052a8c,arbitrum,5000.000000,1
Unknown,0x9286f05c159dd9fd989bd1bbb5fd7d5f38551012,sonic,5000.000000,6
Coinbase Deposit,0x15eecd2e60e8adb788826e71ef46d6921524e041,arbitrum,4617.167945,2
Unknown,0xc36315c5c42bbc57ef6d9b1fefa800c689fb75de,ethereum,4460.848572,1
Unknown,0x06e13686dccd4a83e1d096fc10ebb348d0d81837,avalanche,4302.000000,23
Unknown,0xf6b534d0500813a37ec32494321a37c46268a98b,arbitrum,3568.000000,4
Unknown,0x1496294adcc04f835994d5c80901c7d98061cf16,arbitrum,3390.293846,1
Unknown,0xfaf3373b0dc8461318328ed82a061643667613f5,arbitrum,2550.000010,1
Unknown,0xe16c7ba389405e5b3e2ac7878493c6b0d8ae93e7,arbitrum,2444.642865,2
Unknown,0xccf5f1a2035c895a6c6e9f516307886c3935712e,base,2401.874929,1
Unknown,0xccf5f1a2035c895a6c6e9f516307886c3935712e,ink,2401.761596,3
Unknown,0xd72b70cab0b718fa2a9e44bfd6312a47888ec5ce,arbitrum,2119.950000,1
Unknown,0x763ede9c96da22a62d4faf6395eacdc04ed1272e,avalanche,2072.197581,1
Unknown,0x9286f05c159dd9fd989bd1bbb5fd7d5f38551012,arbitrum,2001.510671,3
Coinbase Deposit,0x408548fd5c1ec79939356ed28811267795f59675,base,1999.900000,1
Unknown,0xc6d281c0d4702c2630fa22823f8b66286acdcd54,base,1952.053181,1
Unknown,0x805c2b965fcc93044132201618882dc8d8524756,base,1765.046712,2
Coinbase Deposit,0xeb9125565a1531fe0f4d483634e8e25594bb7853,hyperevm,1619.298157,1
Unknown,0x9b63eb8c9418881d3a375f92c9b7917c3ad24859,arbitrum,1552.360000,1
Unknown,0x14c0969fdc5a6d89279b79b41ee5cef6fbbd4ce6,base,1443.696856,4
Unknown,0xbf2ea1fc919815df59be08bbdbc56a092231a293,avalanche,1430.180239,2
Unknown,0x16faa6e97aec501eb03d692eb5751e37519cdbb3,arbitrum,1430.000000,1
OKX Deposit,0x0df747e8a4c94e60ae66b4e772d8e103410cbcf8,hyperevm,1366.355346,2
Unknown,0xe16c7ba389405e5b3e2ac7878493c6b0d8ae93e7,hyperevm,1200.376511,4
Unknown,0x79de94f7db2800b4d8a56fd8a5becef416bbd02b,base,1192.690000,1
Unknown,0x5d6eef863cbcbc70336a7a674f8f959a4ab2f084,sonic,1160.490000,17
Unknown,0xe10b7e7ae0c032e6ab91245eb74baeb1e7aca654,ethereum,1142.623257,1
Unknown,0x9286f05c159dd9fd989bd1bbb5fd7d5f38551012,base,1136.003191,2
Unknown,0x88ce7d0a607ab3c3315dc2246326bf5b6ca72b95,ethereum,1103.108556,1
Unknown,0xcdd2765d4fbc9700c66ff3bf509cbd11a5acd0b8,arbitrum,1014.522913,1
Unknown,0xcdd2765d4fbc9700c66ff3bf509cbd11a5acd0b8,ethereum,1001.000000,1
Unknown,0xccf5f1a2035c895a6c6e9f516307886c3935712e,arbitrum,1000.000000,1
Unknown,0xd72ef9bf48120b43fe37d555c6be534860d8c147,base,1000.000000,1
Unknown,0x5239c936b6a363a8cd74f27b0948018c07316fe6,optimism,1000.000000,1
Unknown,0xc6401c31c2f17da5abb990f7f834a84c29ee4b7b,arbitrum,1000.000000,1
Unknown,0xa69ec97c101213560b1cee5638ec6cf037b5813e,hyperevm,979.043178,3
Unknown,0x02469e7afb9e193f40790c25811c5970050ebffe,base,950.000000,1
Unknown,0x6915ca9e8952168e59ea0b8328351ac249dd8ffe,base,940.806271,1
Unknown,0x87f0774e133b82df9f30aa30318e246b1d4959bf,polygon,799.410000,1
Unknown,0x1e48bceb74e3483ff6a3bbdb90c6ac8c11352a67,sonic,690.192042,1
Coinbase Deposit,0x1119c4ce8f56d96a51b5a38260fede037c7126f5,sonic,598.811610,1
Unknown,0x191e9eecb83861eaa758f0c7c31aaacb5eac87ab,avalanche,581.606773,1
Unknown,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,hyperevm,576.587816,1
Unknown,0xb6444515c4d43874aca80a0a525dc57d0d3d1627,arbitrum,552.811189,2
Unknown,0x6778b84d06804ecc154998b3fc73e557a4f1062d,optimism,549.990010,2
Unknown,0x7ea3a52e4d09d2a889a60256dde20404aca843ad,ethereum,500.000000,1
bitget Deposit,0x611c886ccff4c57cce50977ef8b2bf0640a919cd,ethereum,500.000000,1
Unknown,0x9286f05c159dd9fd989bd1bbb5fd7d5f38551012,xdc,500.000000,1
Unknown,0x661b6f4267412ef999b54573caa45e3e2605521b,ethereum,500.000000,1
Unknown,0x79de94f7db2800b4d8a56fd8a5becef416bbd02b,ethereum,486.950000,1
Unknown,0x6778b84d06804ecc154998b3fc73e557a4f1062d,ethereum,450.150679,4
Unknown,0xb7d0e665a00ebc680caeba73b70fad758045798f,base,352.395642,1
Unknown,0x6e28520e5e4c821f55086805bfe8354d1b6df5f5,arbitrum,291.000000,1
Unknown,0xf4dd01d53ae3c9c76f6e68083afb7417c9e03c62,arbitrum,250.210976,6
Unknown,0xcc9097fc0c7a87d5c8109e98eb9486fa5f8906bf,base,233.940294,1
Unknown,0x2224b52bbb16a5a78e2f87e67c4a806508274459,polygon,200.000000,1
Unknown,0x633a721cf8902de8c24b144b2540d1db8961efe0,arbitrum,200.000000,1
Unknown,0x6e3ff35d5b72480c5d064cd84708bbd35dfe5c4b,arbitrum,197.000000,1
Unknown,0xd8130b5c80b4752f7288c014097e5e3efc2501f5,arbitrum,192.410000,1
Unknown,0x6606334117470777893886181150663660030666,arbitrum,183.039443,5
