blockchain,wallet_address,is_circle_wallet,tx_hash,# of Transactions,Circle Collected Fee$,Transaction Volume$
base,0x8e86251c88e5b3ef134a37bcab2cd63beb627c4c,False,0x319a1c330dcace04c945e0719de52c664ef3916076c24cac7b8a52f6e58acd55,1,0.0,0.115314
ethereum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0x07644fda07dadd10b5a4eaaedb968c82b4944b3e41ff4e74afcf0eaeb8cd8768,1,0.0,7.047477
ethereum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0x12bfa22a480edaf510ca5fbd33e6845e814fc8d717d245b15bc93d2d3ae7505f,1,0.0,4.992213
base,0x7f078b628f788d0941366b94c1fd3a64351a3a91,False,0x8c816b79c0b56333ffd3d93e3eee6ac551755682579371f6b31df4427dc44e6c,1,0.0,0.009998
arbitrum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0xab3401ffb4c5ed790139702890de75e1f0b9e6060cc5e5975101d082af5b5de9,1,0.0,0.9998
base,0x2915637a5f4b83b4097fc0b2eae2fe3c1c761465,False,0x46f45d0329a9206f78c0465cd365fb61d3c31309b7e03cc7db7fa4a246144a68,1,0.0,0.009998
ethereum,0x3cf908c87e6783f8c31f76ae5113488c8c33028a,False,0xdaab739adc92cceee168c346ecc46e13a39db02ffc526cef178d9f72c50d48fb,1,0.0,0.9998
base,0xf79a32b893b793ff4964134273b9c0ab8e9b4005,False,0x43e1e39b8cc797fcb3885060c18d87919d2d834002fcb5f291b6a050d0e46d79,1,0.0,0.116517
base,0x7540c25c054f6cf509862793239630be4e83af8d,False,0x15e3de619a0abd730fd2a187782c3ae9991bf39cb028b1222216456c21dce6df,1,0.0,0.9998
base,0x43d09cfe8d05faace92109592734dbbdb7682a53,False,0xd5faa2768c153cddc2284f1bff1de9fcf39fe2dd24b2a4a1330abd9aa8b2e1e0,1,1e-08,0.041068
solana,,False,2r8mprJjP3bnWTtL8g7h3omxh6LfoKTMMnyer7HAUZXndrFoNcsBfSRwRVgoua615bSGNrX4LrPKJ4DnhoYFy2Bd,1,0.0,
