blockchain,wallet_address,is_circle_wallet,tx_hash,# of Transactions,Circle Collected Fee$,Transaction Volume$
arc_testnet,0xad4280ec80508f1b920b5b8a978c060fe38ce845,False,0x9e72f7444f159f7764b527263d414dd4f36f76b1f952a466ff957919ca2fdfb9,1,0.000102,0.19796
arc_testnet,0x1bf71b449c010ccb4b5f1e881d820f00d1f5b275,False,0xfb15bbeb214bf1915fba78af356a8eca02d09a8802bd3b0125630376c61ac01f,1,0.0,1.828492
arc_testnet,0xd5d72e96177518fe3c06fb57b324f2748279fca1,False,0x68441650737d81984ad57364488948163a545ee16351595229341ac9745c4040,1,0.001019,1.979604
arc_testnet,0x2f978842ad6d5529dc462423dcaa7fadca2931ed,False,0xe2bf62cdad56149decfe21c50d8e118fe6e3f946aaf1e94bac05a9a98cc003fb,1,0.000126,6.308738
arc_testnet,0x3a0d891db2f0574511d01316dd5f317239783e2a,False,0x6c04bbee726049583119455f4146193f94b334f4220358d76e1c6c24c26c2781,1,1.9e-05,0.94981
arc_testnet,0xc540f2910c43725b1a545d6ffe29dd2d882267a4,False,0x0464a1855f7175f89a7396763d5b634a4734f3ac1a7de76ac55da1f6f704ae9b,1,2.5e-05,1.256548
arc_testnet,0x78ce78fc0a19bb2e02ea3f000a5262d07c42ded7,False,0xcd667d441e9daaa773faf3e2b39ed10d1326429d010090b76eb42e69edea6b86,1,0.0,3.858442
arc_testnet,0x4cfaa8ac7a50bbe2f9e5ce2424de358daea72842,False,0x59baf88c0cc6bb1ae77f642543d450d2b4dba746d8254f730e826952e21b420e,1,0.011197,21.73605
arc_testnet,0x4e306087b1d6dacf0ae1620902bcacfb8e06d144,False,0xf0ba11a0f781a62a1a39cc20be0ade1c76351600c17950a1fecb68c437603883,1,0.0,0.370235
arc_testnet,0xa8411548395ce415b905c747e5d46ac48400d70b,False,0xb9ac8310f4019a79906a5cd5dad8b3a68aa07cc719580cbe8e29414e7755ea4f,1,0.000118,5.928814
arc_testnet,0xf5c86cdfd2dec7f1e516b368319d9825a8d307fa,False,0x36e876d7025301bc6bcfa80d539f814392d70f948842dd9ee272b55eb4a99263,1,2.3e-05,1.159768
arc_testnet,0xf59b58fef67a9b389edd478f061ae0b27e3ce54b,False,0x48fa8653fec5d490b5622f8868476fc1f436fe6a21d66dd1de7a65c7053f3428,1,0.0,24.599378
arc_testnet,0x261f23dd7089cee12f51be9beedd8665114b80f4,False,0x6d7e7327c9436de53724643a272c5bbe8b65dd04bc219a4868f87aacf60272e3,1,0.000146,7.328534
arc_testnet,0x75b33631ecf98f22ad76de27b8069c600726286c,False,0x3fd5d708bcd8084bb0a1025b1e147c193fa4901682ae803e8cd22d3780e19fcd,1,2e-06,0.09998
arc_testnet,0x1f31e6d26a30af0aaa2a48aa88ac42d6e366e275,False,0x8a2ea33e79f194a9bcf4c2d7638dd633b5d6087582a8f9d3e555903abd6291d4,1,2e-06,0.09998
arc_testnet,0xe1a695f115d568e0e2ca36d78eb06f6e20a13fd1,False,0x3a477e00c1fc327d2482c661c59e375369fb86bc26fba2114a597dfb462ae75e,1,0.0,9.153403
arc_testnet,0x504f5e7bae0094ffdebb0144c92fdc0aea4c94e2,False,0x3f330085e08241010262a11348bd2a8078f95b5d68fb9877aee9b6f7733cd9dc,1,0.0,6.456213
arc_testnet,0xde5199d16520c1abcbfa5e152b27270a246a7042,False,0xa1600a5c6119d7c15ee65912c7453facb792958a1a2ef9103e0e0d5c8587a3aa,1,0.000103,5.158968
arc_testnet,0xa4d7672c19face83510c1d07f4af4d164f5d8637,False,0xf463a84e3285eb1781954d3107f8a049f948e2c3aa0c15f347c66dbe82111037,1,2e-06,0.09998
arc_testnet,0x63c8bb5ab5b5854accf113f38494e8a35e8db5ae,False,0x273b233e352552e826a8b77da942f179dcc18705ff5993577fc240c8b345a495,1,1.4e-05,0.721155
arc_testnet,0x721095b1647037a951c04ee7b28d399544b7b12e,False,0xf1c65854dc6fd77e2b912e11c26b7ea88dbf03057544eec86d38ac53a93821a1,1,0.005099,9.89802
arc_testnet,0xbcb07f981120664c57632f5fda593ea30c6698bc,False,0x8f04cae44d46f204ab69179d88aded96621c3642dd77b9ce6458c9343fc22873,1,2e-06,0.09998
arc_testnet,0xa8c352183482235ff85f637b831aefe4cca16ddf,False,0x0cc2cc322683a84efa089ad2571f0e28cf2592234c5bd2dbf19c6fd846369ce5,1,1.1e-05,0.579884
arc_testnet,0x7a643ea908e2a5709233e660d4d36d6d5589ffd1,False,0x2e5d91a53c06c25d49c11ac9fd8f6744b66399a23e84781cc6b6ed5012bfc675,1,3.7e-05,1.869626
arc_testnet,0xe603b215f73c3e8965c095c86c5cec757105e348,False,0xbf3de0e4b07bc524538561bb3326d6ff4078dec824e80a85d766be361145a466,1,1.9e-05,0.94981
arc_testnet,0x9b74e81edb27b21f03575b5523f3dd85d2a14a7f,False,0x43c2adf9ad6a0d75b697dc8020f923da32879faecefff45161d5ad6697b6d89c,1,4.9e-05,2.479504
arc_testnet,0x66767c359db242c2159aeaef95d332f550091131,False,0x00d22602254edf6d9ded53b3b568f1a50a25c56dab732615070acbfe28d9278a,1,0.0,6.962938
arc_testnet,0x79ae71625285fe1a0dbbd4ca83c8fbf2d1b18f0c,False,0xa99d3d3ce5de6e5dae17645f63839b4a36d95bc139953bf60aafd050f259259f,1,0.0,16.766655
arc_testnet,0x8b3657e0a27bccd0d93c73de19ee1471923ea03d,False,0xd573ca83af4efec3d756f577af442bb133dd7b11b15cce1052c0ce281fca040e,1,3.8e-05,1.920594
arc_testnet,0x9fdd1ed2258c71dbf64c19642ac0025a19b45df7,False,0x5f0810500910b0f56a61f33c4209cf39db35f6349b234b769ad2d8387a3d2f43,1,1.5e-05,0.789842
arc_testnet,0xa57bd5b872ae52a9203ac0990ee537f018202e8d,False,0x74f0870fed46753d3266d4b74dbe583ee9fabba8deaeda629657dc1c858505d7,1,8.6e-05,4.309138
arc_testnet,0xc191f78ccae36aab5de892ae61faca3a96b8c8b4,False,0x82d968e418d73e0921d3eaf7f6b430cce7cae8a5f7bb96c43b90299cd1707901,1,0.0,2.062863
arc_testnet,0x8b808bf66513695ea776b19eaf4a87716ec82fd7,False,0xf6e7637932583bb5e35cb9b91cd0f8b7e76992bd6fd16cde6e6d8a1196d4df4e,1,2e-06,0.09998
arc_testnet,0x121177297137e2307862aa7e3728ef808fc0826f,False,0xfdb24c09603b1f37baf2221d90aa52389f65067b5d30b0c52ab7c3bda4a974f3,1,0.05099,98.9802
arc_testnet,0x63192debccf3ef5a01d7a63e3eac520b309625ee,False,0x30679d3ca3081d62336342ec330d0ed3d67926580bfb1851565bf9afc5484041,1,0.0,67.8596
arc_testnet,0x7d764bc0979be4beb11ad93ee663af62c618245f,False,0xf749617f7596619ab26a6e46ac791f427387fbf5a1224d8790aa3b2c3fffa543,1,0.001019,1.979604
arc_testnet,0xec4841561470e9f5f5b534e2b57552f515d582ea,False,0xed8661750b4367e122a4c6f4bca4d6a4d87130dc985de818b8de12f09160cb5e,1,0.0,8.107964
arc_testnet,0x412b39c9fb62ebbc74cfc044c04cdbbb1077b6ce,False,0x6178cbf0ef18befac5a46663c285b4096e2e4f91f64d0338e823f17e29a08aac,1,0.006118,11.877624
arc_testnet,0xaa632dea041a359de531d41ae17b2fa4af305758,False,0x6f5fb270a0bc2654f72c445f2f551d99a8348e92259d146338d295d608861c5a,1,1.7e-05,0.856128
arc_testnet,0x97dbdde069b9f69dcceae786dd708664129a0db8,False,0x37a5044200851feff21a677db8d736fba1433d5e0bb925f21647c6ca3dda980e,1,0.0,13.642664
arc_testnet,0xe531e4b8f0320269fb8dd7bf9da9349253ef2696,False,0xa8f9696a2f7ad1183e8d38ba4969bbb74858909d716f7bd12d8ef1d739248c8a,1,0.0,6.891168
arc_testnet,0x0101c3a3bcad88d967144dec8b6c4d57282cbb10,False,0xf92fa6b84a1d996b21d3373fa8e923fbd7180d68c47e689941e584cb117269bc,1,1.4e-05,0.729854
arc_testnet,0xf609c892838c00dba5f0f4468713d63ae1afd48a,False,0x5476e9e66cb45afe35fe6a9cf3a204c6c2d55be5fc02a2fe2333b8a1df49b4c2,1,0.0,2.383904
arc_testnet,0x03316381762a88837a536b41c38f303b3d576f4b,False,0xb2f9297cb17fe7406dc55ef30694421c047d572e46f3ad93b96dee68c3a3bb86,1,1.2e-05,0.59688
arc_testnet,0x261f23dd7089cee12f51be9beedd8665114b80f4,False,0x226f9b9f7f1f7ec45d402833f3c2ee4f800cfa1a2b9cb8d713bc3303e2786a93,1,0.000233,11.657668
arc_testnet,0x89fffd6445ce173fed6aa1950bb1126cc886224f,False,0x01b7afde8a4ddb9558fca025f81ac9f73beea652b25aedb011b3efb5a219da8b,1,0.0,6.734366
arc_testnet,0x5242de174fa3fc9dd5decb832a9b7cc3737d81c0,False,0x831f0922c4dd5c97f48345a0178cc059bf19f4edf4df14a14de2ed03b6f5e5e8,1,0.0,53.941451
